"Id","CreatorUserId","CreationDate","PublishDate","ForumId","CurrentDatasetVersionId","TotalViews","TotalDownloads"
6,491630,"2015-07-18 00:51:12","2015-07-18 00:51:12",762,6,18278,1726
7,491632,"2015-08-04 23:59:00","2015-08-04 23:59:00",766,7,17347,1957
8,1,"2015-08-18 21:53:00","2015-08-18 21:53:00",774,8,14175,1889
9,1,"2015-09-08 19:01:00","2015-09-08 19:01:00",794,135,18537,1581
10,1,"2015-09-11 01:56:00","2015-09-11 01:56:00",798,10,53792,5210
11,1,"2015-09-25 00:05:00","2015-09-25 00:05:00",810,11,25391,5680
12,993,"2015-12-09 06:16:00","2015-12-09 06:16:00",966,26,28864,1468
13,1,"2015-12-18 23:16:00","2015-12-18 23:16:00",975,13,31853,4610
14,1,"2015-12-21 19:40:00","2015-12-21 19:40:00",977,14,35095,6100
16,494356,"2015-12-28 06:04:45","2015-12-28 06:04:45",984,16,12487,1970
17,494356,"2016-01-07 00:38:08","2016-01-07 00:38:08",989,17,25782,4257
18,500099,"2016-01-08 21:12:10","2016-01-08 21:12:10",993,18,26575,4241
19,502325,"2016-01-12 00:33:31","2016-01-12 00:33:31",997,19,21884,2456
20,503129,"2016-01-13 02:01:43","2016-01-13 02:01:43",999,20,31639,5009
21,508528,"2016-01-20 16:32:33","2016-01-20 16:32:33",1015,21,24734,3811
22,508688,"2016-01-20 22:51:48","2016-01-20 22:51:48",1016,22,7856,616
23,514856,"2016-01-28 06:30:59","2016-01-28 06:30:59",1035,23,24039,3903
24,993,"2016-02-19 06:37:00","2016-02-19 06:37:00",1078,131,34043,5688
25,3258,"2016-03-08 06:37:00","2016-03-08 06:37:00",1109,29,7722,856
26,1,"2016-03-08 22:41:02","2016-03-08 22:41:02",1110,30,8649,1837
27,304806,"2016-03-09 04:10:56","2016-03-09 04:10:56",1115,34,20579,4425
28,552951,"2016-03-10 04:37:43","2016-03-10 04:37:43",1116,32,13261,3071
29,553690,"2016-03-10 20:18:01","2016-03-10 20:18:01",1119,33,16829,4023
31,3258,"2016-03-16 00:00:00","2016-03-16 00:00:00",1128,37,4737,961
33,598000,"2016-04-26 22:33:46","2016-04-27 02:06:49",1245,49,5912,1010
34,37594,"2016-04-30 00:59:45","2016-05-03 00:51:08",1253,51,15366,4133
35,259561,"2016-05-05 23:11:34","2016-05-09 19:05:31",1262,58,13390,3223
36,609606,"2016-05-09 20:09:21","2016-05-10 16:23:37",1268,64,1624,368
37,366532,"2016-05-13 20:05:17","2016-05-16 15:56:24",1277,72,18262,1796
38,283159,"2016-05-15 15:14:18","2016-05-29 08:13:16",1279,99,1482,316
39,583372,"2016-05-16 21:44:11","2016-05-16 21:44:57",1285,71,5234,464
42,304806,"2016-05-19 23:46:20","2016-05-20 00:19:54",1289,117,8633,713
43,304806,"2016-05-20 01:32:31","2016-05-20 02:00:28",1290,77,23876,2536
45,618787,"2016-05-20 19:30:33","2016-05-24 00:30:55",1292,79,4345,492
47,298505,"2016-05-21 08:23:53","2016-05-21 15:08:29",1296,85,2825,2425
48,623738,"2016-05-24 01:52:03","2016-05-24 02:05:31",1300,165,5794,624
52,304806,"2016-05-26 03:21:22","2016-05-26 04:02:43",1311,97,2165,155
53,627861,"2016-06-03 00:27:28","2016-06-03 02:30:17",1318,102,7092,1032
54,276788,"2016-06-03 02:49:04","2016-06-03 03:33:08",1319,164,1792,153
55,3258,"2016-06-07 16:46:57","2016-06-17 12:29:31",1322,120,3051,402
56,147512,"2016-06-09 08:45:04","2016-06-09 08:45:16",1324,112,4710,469
57,993,"2016-06-14 04:07:05","2016-06-14 04:26:34",1327,116,4273,540
58,647691,"2016-06-24 14:43:10","2016-06-24 14:43:20",1334,128,944,77
59,293263,"2016-07-03 16:15:59","2016-07-03 16:16:25",1343,134,2903,445
63,655525,"2016-07-09 13:40:34","2016-07-09 13:40:47",1357,166,7272,999
76,552951,"2016-07-16 03:50:21","2016-07-16 03:50:25",1372,161,157,33
77,444022,"2016-07-19 01:47:34","2016-07-19 01:47:37",1375,163,80,17
